ticker,comnam,siccd,r2,similarity,rank,weight_eq,weight_sim,theme,etf
DHI,D R HORTON INC,1521,0.3131378601374991,0.8325266032430549,17,0.04,0.03917086226050201,US Housing & Consumer,HOMZ
RYL,RYLAND GROUP INC,1531,0.1736978912143058,0.7927753604162674,18,0.04,0.03730054310026579,US Housing & Consumer,HOMZ
HLX,HELIX ENERGY SOLUTIONS GROUP INC,1629,0.4254257133663434,0.7909333819013353,19,0.04,0.03721387693678928,US Housing & Consumer,HOMZ
CAA,CALATLANTIC GROUP INC,1531,0.19515358992682297,0.7586115186866401,20,0.04,0.03569311442054812,US Housing & Consumer,HOMZ
ETH,ETHAN ALLEN INTERIORS INC,2511,0.5033967007824487,0.753643654275648,21,0.04,0.035459373502463594,US Housing & Consumer,HOMZ
TOL,TOLL BROTHERS INC,1522,0.2271922951699733,0.743714450460802,22,0.04,0.03499219867168616,US Housing & Consumer,HOMZ
KW,KENNEDY WILSON HOLDINGS INC,6531,0.5101545922000454,0.7356444890828003,23,0.04,0.03461250228198054,US Housing & Consumer,HOMZ
RLGY,REALOGY HOLDINGS CORP,6531,0.2244007420331695,0.6303137774964293,24,0.04,0.029656630866847087,US Housing & Consumer,HOMZ
FAST,FASTENAL CO,5200,0.17454652417202465,0.6019546158359876,25,0.04,0.02832231577001149,US Housing & Consumer,HOMZ
MSA,M S A SAFETY INC,3842,0.3142462788038545,0.9783054399100448,1,0.04,0.04296263103942866,Bio-Economy & Longevity,AGNG
THC,TENET HEALTHCARE CORP,8062,0.20587299687146932,0.978185832670055,2,0.04,0.04295737844498147,Bio-Economy & Longevity,AGNG
WST,WEST PHARMACEUTICAL SERVICES INC,2834,0.28048553913968366,0.9773948832555037,3,0.04,0.04292264362037359,Bio-Economy & Longevity,AGNG
EHC,ENCOMPASS HEALTH CORP,8069,0.24855173084294013,0.9586362729307375,4,0.04,0.042098852581994556,Bio-Economy & Longevity,AGNG
THOR,THORATEC CORP,3845,0.15360525934260771,0.9552098343587659,5,0.04,0.041948379314504174,Bio-Economy & Longevity,AGNG
NUVA,NUVASIVE INC,3841,0.23488634955003107,0.9542045397846688,6,0.04,0.04190423144604619,Bio-Economy & Longevity,AGNG
CTLT,CATALENT INC,2834,0.3472858548692389,0.9465253821930408,7,0.04,0.041566998511582416,Bio-Economy & Longevity,AGNG
UTHR,UNITED THERAPEUTICS CORP,2830,0.11679512198121766,0.9424040891365639,8,0.04,0.04138601046248493,Bio-Economy & Longevity,AGNG
HOLX,HOLOGIC INC,3844,0.2772776092856378,0.9356643207729036,9,0.04,0.041090031139784065,Bio-Economy & Longevity,AGNG
CMD,CANTEL MEDICAL CORP,3841,0.23328516033823954,0.9285873710211573,10,0.04,0.04077924437660629,Bio-Economy & Longevity,AGNG
ICOS,I C O S CORP,2830,0.3933614512510042,0.92217473979147,11,0.04,0.04049763139739367,Bio-Economy & Longevity,AGNG
ELAN,ELANCO ANIMAL HEALTH INC,2834,0.31722252941013507,0.9196424166462499,12,0.04,0.04038642352659751,Bio-Economy & Longevity,AGNG
MOH,MOLINA HEALTHCARE INC,8011,0.1671830264135714,0.9171984011683945,13,0.04,0.04027909371839425,Bio-Economy & Longevity,AGNG
MASI,MASIMO CORP,3845,0.2522389806699924,0.9115093473541366,14,0.04,0.04002925689850711,Bio-Economy & Longevity,AGNG
RGEN,REPLIGEN CORP,2830,0.3978640479318366,0.8965658920444065,15,0.04,0.039373009748347995,Bio-Economy & Longevity,AGNG
TFX,TELEFLEX INC,3841,0.16799495179329982,0.8830758313652396,16,0.04,0.03878058893986119,Bio-Economy & Longevity,AGNG
HALO,HALOZYME THERAPEUTICS INC,2836,0.3209832007077118,0.8820671516678227,17,0.04,0.0387362924125097,Bio-Economy & Longevity,AGNG
SIRO,SIRONA DENTAL SYSTEMS INC,3844,0.3584324498083704,0.8784142841722432,18,0.04,0.03857587543837641,Bio-Economy & Longevity,AGNG
ENSG,ENSIGN GROUP INC,8051,0.40915233402427587,0.8728297943501236,19,0.04,0.038330630583361364,Bio-Economy & Longevity,AGNG
STE,STERIS CORP,3842,0.0652208773724352,0.8661483466604086,20,0.04,0.03803721243378135,Bio-Economy & Longevity,AGNG
OPK,OPKO HEALTH INC,2834,0.21352462432037034,0.8639692631434446,21,0.04,0.03794151720678554,Bio-Economy & Longevity,AGNG
DXCM,DEXCOM INC,3841,0.27303920331771114,0.8573444724145489,22,0.04,0.037650587167773246,Bio-Economy & Longevity,AGNG
PODD,INSULET CORP,3841,0.18193530990484075,0.8522527889706011,23,0.04,0.03742698407997685,Bio-Economy & Longevity,AGNG
NEOG,NEOGEN CORP,2830,0.19809256957927757,0.8470435432887621,24,0.04,0.03719821820472712,Bio-Economy & Longevity,AGNG
PEN,PENUMBRA INC,3841,0.22848136205460345,0.8457241665368601,25,0.04,0.03714027730582016,Bio-Economy & Longevity,AGNG
XLS,EXELIS INC,3812,0.29635601911033704,0.9815497677665327,1,0.04,0.10924900937009502,Defence & Security,FITE
HEI,HEICO CORP NEW,3724,0.40958608708399746,0.9809166867682235,2,0.04,0.10917854582949056,Defence & Security,FITE
HEI,HEICO CORP NEW,3724,0.40025112302418653,0.975894048678501,3,0.04,0.10861951331402753,Defence & Security,FITE
MOG,MOOG INC,3812,0.4858385536290598,0.9563074848471678,4,0.04,0.10643947846932848,Defence & Security,FITE
TDG,TRANSDIGM GROUP INC,3728,0.17542997267492655,0.8421995116655419,5,0.04,0.09373896807168643,Defence & Security,FITE
WWD,WOODWARD INC,3728,0.4285729675516067,0.8105100784853478,6,0.04,0.09021185279324903,Defence & Security,FITE
TGI,TRIUMPH GROUP INC NEW,3728,0.24967993779542352,0.7859528949419196,7,0.04,0.08747857521207876,Defence & Security,FITE
OA,ORBITAL A T K INC,3764,0.11956067690926919,0.7745372089961711,8,0.04,0.08620798005551225,Defence & Security,FITE
HXL,HEXCEL CORP NEW,3728,0.35684082258518324,0.7699094692758602,9,0.04,0.08569290074250197,Defence & Security,FITE
SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,3724,0.2825706457998114,0.5793766305321154,10,0.04,0.06448610658005123,Defence & Security,FITE
AXON,AXON ENTERPRISE INC,3480,0.337871809658714,0.5273649191816583,11,0.04,0.058697069561978885,Defence & Security,FITE
