,F1,F2,F3,F4,F5
ReturnSkew,0.041700871545684366,0.003289038522592225,-0.035671074366456335,0.01691288558242185,0.009558215476175216
ReturnSkew3F,0.026914579547064332,-0.0073894261393303105,-0.04778542143866648,-0.0033831992231086374,-0.0014166247272974003
RevenueSurprise,0.02881350747709794,0.008886620362428136,0.04603861082499506,0.011993783178953206,0.01193381169404908
RoE,0.05500713290303533,-0.01774844212896168,-0.07229432808785162,0.04078685656756717,-0.000513794424647594
SP,0.025012382532995158,0.17944861999750103,-0.08045902819621921,0.1481627486544744,-0.10996488995629781
STreversal,-0.0869851410118402,0.2206374653875383,0.08751889421549401,0.31028391292075136,0.5028323820505662
ShareIss1Y,0.09840039671387352,0.07230136077681439,-0.029069051006188267,0.08800856344400368,-0.05539842182824553
ShareIss5Y,0.09691577630254185,0.0325683785884354,-0.03380494483693376,0.07208380717996195,-0.042311300307072856
ShareVol,0.04933083980732569,0.037685003668462246,-0.021315101116125685,-0.08984888663124502,0.020237209962217843
Size,-0.06953389630214188,0.07376610722779288,0.011129986782490126,-0.12266906097388681,-0.04971250718383631
Spinoff,-0.04881818724834616,-0.04617349576022817,0.05159937713130435,-0.006101659654446841,-0.06278733558333766
SurpriseRD,-0.038033721496014694,-0.026672230016029645,0.02746397785763775,-0.05092335221254676,-0.0006322643660448197
Tax,0.023657164804198088,0.013434888086681503,-0.0486799683183347,0.04330986611173323,-0.005059561051024725
TotalAccruals,-0.061925121584495056,0.04486885423269331,0.03172979546496122,-0.09150412750850959,-0.03279572300959251
TrendFactor,0.005429530874463519,0.1035373021697254,0.14059917767571728,0.11744311173690034,0.05406521149988478
VarCF,0.14349216317494493,-0.1736293538829712,-0.1153232475274179,-0.06935037591926307,-0.037785171545789836
VolMkt,0.12234443025510987,0.09175951890163822,-0.07944468872713521,-0.13325341807713575,0.0009419349712138297
VolSD,0.054106581699048105,0.03228860865764132,-0.01704483755996008,-0.17647356884537607,0.013692231069545866
VolumeTrend,0.01972351205566421,0.1138016185136688,0.0036221551291115844,-0.03746040924576788,-0.02014357679183811
cfp,0.11958548420033942,0.0062476991756424665,-0.09461268239956926,0.14945724084553927,-0.12282935257492772
dNoa,-0.005036224061845274,0.11253779118324093,0.056443819126386414,-0.013487630698600296,0.004480882121868147
grcapx,-0.003197785816930172,0.05115798288571447,0.008647773561977658,-0.025177019885694537,-0.05207837266232258
grcapx3y,-0.021887812452684268,0.06195032691408158,0.020405706620431785,-0.04149481841896021,-0.04680621160362366
hire,-0.006558079040787522,0.07738026080939911,0.007979167842660643,-0.02220233274276936,-0.058382050339537896
roaq,0.15497929923347512,0.020535100689933878,0.00537967025910176,0.24204959841624482,0.08613196231368851
sinAlgo,-0.0016789988211128963,-0.013085079867276018,-0.027278590116909918,-0.006262817300693829,-0.03636299966375418
std_turn,0.1551479016594785,0.024703306136193107,0.011640951537497297,-0.21036595999227045,0.1098874121329091
tang,-0.049986471733754555,-0.011082204008662486,0.08754100191235945,-0.11796363211390094,0.06400821499015842
zerotrade12M,0.10634116395497134,0.08490683550658083,-0.017103863236961038,-0.21439182346293353,0.08134607371649058
zerotrade1M,0.09633377518576146,0.08428008670399263,-0.01274082192169239,-0.182930811999838,0.08521009808231692
zerotrade6M,0.09917184444419218,0.09461720019859526,-0.024378320148409304,-0.21018896672262719,0.09659909280812033
